"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",16,798,182,4,0.8,0.814285714285714,0.215813531759926
"cox.lambda.min",10,941,39,10,0.5,0.960204081632653,0.298462796164908
"cens.prop",0.4175,0.2575,0.325,0,0,0,0
