"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",20,675,305,0,1,0.688775510204082,0.205879054892255
"cox.lambda.min",13,940,40,7,0.65,0.959183673469388,0.380682898031248
"cens.prop",0.445,0.25,0.305,0,0,0,0
