TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
10,7,3,0,1,0.7,0.7337993857053428,11.265205535097303
9,6,4,1,0.9,0.6,0.5241424183609591,0.33786733326462537
10,10,0,0,1,1,1,11.594729380477114
9,8,2,1,0.9,0.8,0.7035264706814485,0.37440075585329724
10,7,3,0,1,0.7,0.7337993857053428,11.305392616648026
9,7,3,1,0.9,0.7,0.6123724356957946,0.34201613828735117
10,7,3,0,1,0.7,0.7337993857053428,11.305255755535695
9,7,3,1,0.9,0.7,0.6123724356957946,0.34201544799994693
7,10,0,3,0.7,1,0.7337993857053428,11.710249689517774
10,6,4,0,1,0.6,0.6546536707079772,0.07956716910947492
9,6,4,1,0.9,0.6,0.5241424183609591,11.398582672664423
10,6,4,0,1,0.6,0.6546536707079772,0.33182578278764957
8,8,2,2,0.8,0.8,0.6,11.69718643996639
9,10,0,1,0.9,1,0.9045340337332909,0.3720369617795314
7,10,0,3,0.7,1,0.7337993857053428,11.906004325185279
9,10,0,1,0.9,1,0.9045340337332909,0.4208874237455371
7,10,0,3,0.7,1,0.7337993857053428,11.86967806066604
9,10,0,1,0.9,1,0.9045340337332909,0.4114235674146625
9,8,2,1,0.9,0.8,0.7035264706814485,11.350021297062948
9,1,9,1,0.9,0.1,0,0.14605694250198648
10,6,4,0,1,0.6,0.6546536707079772,11.316011498788974
8,8,2,2,0.8,0.8,0.6,0.405769212283564
2,10,0,8,0.2,1,0.3333333333333333,12.450913965639112
2,10,0,8,0.2,1,0.3333333333333333,0.48369918067172635
9,8,2,1,0.9,0.8,0.7035264706814485,11.724833158399315
5,10,0,5,0.5,1,0.5773502691896257,0.44842535155485413
9,7,3,1,0.9,0.7,0.6123724356957946,11.534377943156596
7,9,1,3,0.7,0.9,0.6123724356957946,0.4288390490100984
10,8,2,0,1,0.8,0.816496580927726,11.185546920862262
10,3,7,0,1,0.3,0.420084025208403,0.07144604767414926
10,4,6,0,1,0.4,0.5,11.19791098164107
9,3,7,1,0.9,0.3,0.25,0.37349610958187673
10,4,6,0,1,0.4,0.5,11.197849496939483
9,3,7,1,0.9,0.3,0.25,0.37348496330262815
10,7,3,0,1,0.7,0.7337993857053428,11.342176285730204
9,6,4,1,0.9,0.6,0.5241424183609591,0.39266302749421206
10,7,3,0,1,0.7,0.7337993857053428,11.34217809282122
9,6,4,1,0.9,0.6,0.5241424183609591,0.3926544843365158
10,8,2,0,1,0.8,0.816496580927726,11.35678930216707
10,3,7,0,1,0.3,0.420084025208403,0.1381048552415786
10,5,5,0,1,0.5,0.5773502691896257,11.102872277303128
10,3,7,0,1,0.3,0.420084025208403,0.37041130525338306
9,10,0,1,0.9,1,0.9045340337332909,11.555275871595484
6,10,0,4,0.6,1,0.6546536707079772,0.41952281881393744
10,9,1,0,1,0.9,0.9045340337332909,11.290597797023032
8,7,3,2,0.8,0.7,0.502518907629606,0.39327585403411247
10,6,4,0,1,0.6,0.6546536707079772,11.157028981123668
9,3,7,1,0.9,0.3,0.25,0.3773105799318491
9,9,1,1,0.9,0.9,0.8,11.422297856173248
10,4,6,0,1,0.4,0.5,0.1007153625233963
10,6,4,0,1,0.6,0.6546536707079772,10.995632063977244
9,0,10,1,0.9,0,-0.22941573387056174,0.3556570434993175
10,8,2,0,1,0.8,0.816496580927726,11.315463214914422
7,8,2,3,0.7,0.8,0.502518907629606,0.38640959845720274
10,8,2,0,1,0.8,0.816496580927726,11.315623213745123
7,8,2,3,0.7,0.8,0.502518907629606,0.3863860017491898
10,1,9,0,1,0.1,0.22941573387056174,10.85790654558984
10,0,10,0,1,0,NA,0.34464680832116124
9,8,2,1,0.9,0.8,0.7035264706814485,11.216951433264352
10,6,4,0,1,0.6,0.6546536707079772,0.098824024650950415
10,5,5,0,1,0.5,0.5773502691896257,11.333933647261254
10,7,3,0,1,0.7,0.7337993857053428,0.369872109318237
10,5,5,0,1,0.5,0.5773502691896257,11.334127889760543
10,7,3,0,1,0.7,0.7337993857053428,0.36985530493073104
0,10,0,10,0,1,NA,12.5
0,10,0,10,0,1,NA,0.5
10,5,5,0,1,0.5,0.5773502691896257,11.371277032245576
10,7,3,0,1,0.7,0.7337993857053428,0.3752430675085395
9,5,5,1,0.9,0.5,0.4364357804719848,11.154665839813209
10,5,5,0,1,0.5,0.5773502691896257,0.09267087340739011
10,6,4,0,1,0.6,0.6546536707079772,11.200134649449389
10,6,4,0,1,0.6,0.6546536707079772,0.33495443766032573
9,9,1,1,0.9,0.9,0.8,11.972383125823193
7,10,0,3,0.7,1,0.7337993857053428,0.4368110261241465
9,9,1,1,0.9,0.9,0.8,11.972172112343483
7,10,0,3,0.7,1,0.7337993857053428,0.4368502478656475
10,8,2,0,1,0.8,0.816496580927726,11.658251190637921
8,9,1,2,0.8,0.9,0.7035264706814485,0.3923951952718239
8,9,1,2,0.8,0.9,0.7035264706814485,11.711612282836048
9,3,7,1,0.9,0.3,0.25,0.12755093138425247
10,6,4,0,1,0.6,0.6546536707079772,11.067102008399091
8,6,4,2,0.8,0.6,0.408248290463863,0.36423996371586936
10,9,1,0,1,0.9,0.9045340337332909,11.760707807925256
