"","V1"
"casebase.cv.lambda.min",2398.05876591221
"casebase.relaxed.lambda.min.no.pen",2213.04227663179
"casebase.relaxed.lambda.min.small.pen",2205.98112257537
"casebase.relaxed.lambda.min.sig.pen",2299.77939435633
