"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,15,3,1,0.5,0.833333333333333,0.25
"casebase.lambda.1se",0,18,0,2,0,1,NA
"casebase.lambda.0.5se",0,18,0,2,0,1,NA
"casebase.lambda.min0.5se",2,8,10,0,1,0.444444444444444,0.272165526975909
"casebase.lambda.min1se",2,1,17,0,1,0.0555555555555556,0.0764719112901873
"cox",1,9,9,1,0.5,0.5,0
