"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,16,2,1,0.5,0.888888888888889,0.326732019606536
"casebase.lambda.1se",0,18,0,2,0,1,NA
"casebase.lambda.0.5se",0,18,0,2,0,1,NA
"casebase.lambda.min0.5se",2,12,6,0,1,0.666666666666667,0.408248290463863
"casebase.lambda.min1se",2,8,10,0,1,0.444444444444444,0.272165526975909
"cox",1,8,10,1,0.5,0.444444444444444,-0.0335012605086404
