"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,17,1,1,0.5,0.944444444444444,0.444444444444444
"casebase.lambda.1se",0,18,0,2,0,1,NA
"casebase.lambda.0.5se",0,18,0,2,0,1,NA
"casebase.lambda.min0.5se",1,11,7,1,0.5,0.611111111111111,0.0680413817439772
"casebase.lambda.min1se",1,7,11,1,0.5,0.388888888888889,-0.0680413817439772
"cox",1,3,15,1,0.5,0.166666666666667,-0.25
