"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,17,1,1,0.5,0.944444444444444,0.444444444444444
"casebase.lambda.1se",0,18,0,2,0,1,NA
"casebase.lambda.0.5se",0,18,0,2,0,1,NA
"casebase.lambda.min0.5se",1,12,6,1,0.5,0.666666666666667,0.104828483672192
"casebase.lambda.min1se",1,10,8,1,0.5,0.555555555555556,0.0335012605086404
"cox",1,4,14,1,0.5,0.222222222222222,-0.192450089729875
