"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,14,4,1,0.5,0.777777777777778,0.192450089729875
"casebase.lambda.1se",0,18,0,2,0,1,NA
"casebase.lambda.0.5se",0,18,0,2,0,1,NA
"casebase.lambda.min0.5se",1,11,7,1,0.5,0.611111111111111,0.0680413817439772
"casebase.lambda.min1se",1,9,9,1,0.5,0.5,0
"cox",2,4,14,0,1,0.222222222222222,0.166666666666667
