"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,16,2,1,0.5,0.888888888888889,0.326732019606536
"casebase.lambda.1se",0,18,0,2,0,1,NA
"casebase.lambda.0.5se",0,18,0,2,0,1,NA
"casebase.lambda.min0.5se",2,11,7,0,1,0.611111111111111,0.368513865595044
"casebase.lambda.min1se",2,6,12,0,1,0.333333333333333,0.218217890235992
"cox",2,7,11,0,1,0.388888888888889,0.244599795235114
