"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",2,15,3,0,1,0.833333333333333,0.577350269189626
"casebase.lambda.1se",0,18,0,2,0,1,NA
"casebase.lambda.0.5se",0,18,0,2,0,1,NA
"casebase.lambda.min0.5se",2,12,6,0,1,0.666666666666667,0.408248290463863
"casebase.lambda.min1se",2,12,6,0,1,0.666666666666667,0.408248290463863
"cox",2,12,6,0,1,0.666666666666667,0.408248290463863
