"","V1","V2","V3","V4","V5"
"2.8e-06",7830.40851573307,7770.88691221296,8522.3577742824,7071.58666430017,8225.06502649751
"3.073e-06",8017.33637800296,7317.21745254234,7382.90830160344,7283.4046796395,8468.4496261494
"3.3726e-06",8630.67570769693,7850.25237847157,7570.36200593061,6592.59705169031,8454.88064644901
"3.7014e-06",7621.6753889606,7748.55777286405,7118.84955856297,6165.35213338652,8146.11112495915
"4.0623e-06",8622.56329087858,7609.26036898666,7642.68627868995,7682.25934689299,7708.79106434602
"4.4584e-06",8627.25858630133,7048.35773521391,7446.97811485554,6586.95710613579,8851.49794064503
"4.8931e-06",7515.08805829846,7613.60194954004,6244.11687775087,5961.92035662519,8217.63126961227
"5.3701e-06",8022.39197318452,7473.56403202801,7876.70270716233,7670.31833987145,8299.64945476838
"5.8937e-06",8485.68429691956,7640.57613769097,7570.37239105754,6424.06006047508,7205.90036816014
"6.4684e-06",8740.45018856327,8159.28025364116,7491.64791137194,6820.57469927364,8683.22145896222
"7.099e-06",7981.76701108229,8415.65612758453,6892.84745277177,6488.04408347532,8385.69297031899
"7.7912e-06",7971.2802257881,8110.70231362328,7864.28241379209,6992.06116377688,8148.69765803798
"8.5508e-06",7815.98137307635,7878.00329565942,7499.15850297992,6718.02905277989,8015.1062696735
"9.3845e-06",8964.70098042215,7732.42478003349,7677.04224144906,7203.09253184883,6876.18888847351
"1.02995e-05",8298.2683708208,7255.2771713638,7150.42363440719,7553.0806990983,8643.31863394308
"1.13036e-05",7612.99629057794,7121.25089185173,7989.20314844484,7642.79471324026,7885.48337112302
"1.24057e-05",8801.87389548954,7077.91457355181,7616.36157288513,6780.18009108572,8196.44998444293
"1.36153e-05",7428.24382926199,7740.03847276097,7131.59241817564,6421.31625232138,7522.17529697483
"1.49428e-05",8239.49146638939,7289.97057959552,6833.088219538,7332.53224953292,8630.08990902147
"1.63997e-05",8169.28367622384,7705.18736847521,7322.45096346733,7183.579760128,8344.71895974344
"1.79986e-05",7682.34273912099,7763.16047395836,7040.67480582953,7006.1343222644,8484.34065151709
"1.97534e-05",7745.55222746827,7421.35089873815,6960.70951659799,6805.99965518437,8353.59272766026
"2.16794e-05",7929.01290003842,7708.57958759568,7649.4978199339,7544.8827696442,8763.00666944436
