"","V1","V2","V3","V4","V5"
"2.7e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"2.9632e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"3.2522e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"3.5692e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"3.9172e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"4.2992e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"4.7183e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"5.1784e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"5.6832e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"6.2374e-06",6570.80339756546,5879.37831913257,6735.27127913499,6202.10021722751,6482.4152512083
"6.8455e-06",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"7.5129e-06",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"8.2454e-06",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"9.0493e-06",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"9.9316e-06",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"1.08999e-05",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"1.19627e-05",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"1.3129e-05",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"1.44091e-05",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"1.5814e-05",6359.92232564224,6797.25768127832,7227.68561154229,6824.75506077771,7207.89200335436
"1.73558e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"1.9048e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"2.09051e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"2.29433e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"2.51803e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"2.76353e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"3.03297e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"3.32869e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"3.65323e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"4.00941e-05",6549.84923346621,6185.785231404,6898.3029082422,6588.44518489902,6698.87115685255
"4.40033e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"4.82935e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"5.30021e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"5.81697e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"6.38412e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"7.00657e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"7.6897e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"8.43943e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"9.26227e-05",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
"0.0001016533",6619.8758395742,6763.31950951086,7119.9209436637,6662.89327168409,5929.17079823489
