"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1.3129e-05",3808.72124880108,3716.54638835119,3231.38289566494,3372.96446049836,3311.94328112307,3754.89830040931,3731.3145897791,3157.15240436355,3570.59370986174,3541.92598760302
"1.44091e-05",3449.7018766213,3556.97671858236,3458.56948604362,3221.28018578777,3113.4980780317,3474.52515694559,3826.3151466501,3404.50776620827,2957.72175048622,3980.0799162253
"1.5814e-05",3902.22813047999,3537.72322520337,3670.27690941668,3516.52084276029,3104.66872517004,3467.21857984843,3843.39634175461,3629.89512177707,3506.71844442669,4027.00101696191
"1.73558e-05",3798.44581682824,3704.53072746046,3245.30125305409,3799.5471520287,3090.51643142391,3441.85654933461,3611.50414255871,3631.29913028171,3500.29015628845,3737.81065143959
"1.9048e-05",3766.01608282873,3372.24486560867,3480.1421593771,3294.40100915767,3258.22191017445,3485.73069008996,3872.38981184614,3557.92761264744,3620.50842294813,3959.93048546553
"2.09051e-05",3513.6081405344,3399.29828899602,3630.10589714747,3676.41757632162,3503.28322812598,3850.87942045457,3899.40375870301,3128.0982529232,3564.81637899204,3991.15032327751
"2.29433e-05",3615.9452424721,3502.3696166709,3651.42535271944,3302.44847412496,3157.65415817132,3643.27709921764,3648.7739074868,3669.99071704575,3706.30166787116,3601.04776413795
"2.51803e-05",3764.93648006913,3682.62243979703,3691.57234104754,3548.73175004967,3349.85218846445,3697.66012016002,3373.25693771072,3688.18431952399,3641.67445214483,3524.21719863356
"2.76353e-05",3171.9025253242,3434.17369650566,3381.26377467069,3501.30383254002,3443.35437503008,3898.40757604776,3736.54697609667,3757.11766807724,3700.99234794491,3936.35532397456
"3.03297e-05",3721.13581589371,3586.0865517639,3229.01183593501,3776.67593236465,3448.45328516965,3568.15221795444,3691.70743045273,3644.77243406208,3488.4028491047,3961.90391593305
"3.32869e-05",3305.79853948751,3126.09586070837,3457.31128325338,3400.86246020889,3010.44648130524,3501.31523840057,3452.2741197532,3391.91395387672,3566.17118796651,3781.08145180527
"3.65323e-05",3627.76429868076,3542.1035133748,3701.49610482467,3506.80176139347,3383.97730987591,3861.84947218497,3998.5156656529,3492.39887650223,3591.58237945799,3876.19634060416
"4.00941e-05",3910.99532088708,3400.06071095843,3507.81869454739,3473.6905381973,3333.50591065957,3412.7792694926,4107.40920330226,3541.35700605958,3471.02644908639,3856.01945626527
"4.40033e-05",3361.2287241732,3496.74268633514,3374.25650793145,3450.75345650052,3297.9396785997,3733.34514586782,3824.76159256911,3197.89296259055,3378.57312008315,3588.0419713086
"4.82935e-05",3780.33738589284,3234.83633295129,3263.54037657463,3332.31053704753,3337.39022701935,3719.9974244619,4111.80817587686,3349.83471932358,3615.65577481203,3787.12686687427
"5.30021e-05",3738.32256467087,3297.7666095696,3695.7627356884,3837.85803914651,3449.02046661416,3764.07735847185,3572.1679010079,3393.33117486065,3441.26071470549,3611.86739256414
"5.81697e-05",3456.2493083937,3563.25802210453,3573.27946172138,3570.21631598842,3514.53185996634,3877.42399977778,3628.64766119813,3653.05906083849,3448.46853736057,3832.78362582435
"6.38412e-05",3488.93434593461,3057.46473303707,3340.35034405643,3504.36222808052,3420.05562492395,3551.13488206392,3770.9708411332,3517.16555107832,3452.14036228675,3710.68958941534
"7.00657e-05",3529.28839349979,3758.05941052662,3243.9021058037,3486.03737098813,3644.1521934938,3650.81127901186,3899.01202183925,3887.78821906443,3535.97624325108,3533.47679881841
"7.6897e-05",3312.01018120024,3403.99426442624,3513.41357946804,3518.89300835626,3117.80862220887,3822.24277461125,3795.86929345419,3531.14916886355,3507.264098423,3747.40809344408
"8.43943e-05",3130.50456888485,3441.20375096697,3558.70556283784,3384.64213779514,3611.25645707293,3897.50989935515,4185.46420303242,3507.08910516342,3630.00188006636,3610.93623142419
"9.26227e-05",3796.15858330711,3487.27618146447,3528.47382235453,3495.98130300143,3471.18689825084,3802.21800731204,3754.049134028,3497.34018240651,3135.47902452285,4125.55709090445
"0.0001016533",3940.44164482624,3228.40384554397,3462.39586430733,3283.77512432182,3092.16953639152,3942.68672144999,3588.36380913723,3535.31545121324,3876.95105081733,3718.6133635387
"0.0001115643",3421.9838013576,3488.38555234128,3121.25678563407,3775.97151386203,3511.69866868085,3626.61928813179,3809.94281039836,3258.21126153249,3822.21927040643,3721.3910906841
"0.0001224417",3962.60654524127,3588.12221464872,3703.28232353492,3767.5220490473,3349.94634914822,3719.14444840626,4059.86535583911,3626.09623264113,3614.90170794603,3759.01000365039
"0.0001343796",3555.97462875061,3245.0186344435,3569.5981300505,3661.42385760547,3428.2994968393,3606.12838673353,3979.10683177689,3573.94689561564,3366.19232909291,3397.20102088835
"0.0001474815",3614.20500031135,3215.89611176172,3469.31089089773,3488.17374463917,3317.22419169118,3800.94915586783,3797.6488686888,3223.6071300621,3393.78509810867,3288.7478305787
"0.0001618607",3725.94315158921,3383.43326327433,3388.01112104338,3708.47641690114,3057.4824107454,3602.52640186234,3743.75410130408,3421.01793839477,3158.71051243592,3482.14102287503
"0.000177642",3619.33848285489,3646.8700254398,3799.36654234403,3622.80262492978,3151.11489056778,3604.12460061114,3976.56246391411,3093.08978075128,3320.73601176076,3976.10909475893
"0.0001949618",3947.06872606663,3538.81540083614,3499.55446977579,3451.03520511315,3360.01644739746,3791.45833509041,3854.84723286021,3598.2157017477,3580.56434657997,4170.61760498103
"0.0002139704",3239.03408404806,3226.04246666124,3687.00370031744,3488.01882615639,3146.10851257774,3703.42780604843,3698.62996444243,3744.06504949191,3455.70021934775,3861.36835552789
"0.0002348322",3695.42611066052,3362.32838235394,3488.36086020974,3356.63812180928,3411.0853330675,3305.65747120624,3640.75915807416,3574.22041212663,3474.02277513569,3946.57878351213
"0.0002577281",3607.10598723493,3728.39453584302,3259.67254408543,3138.14806251851,3430.25506604736,3786.51462987916,3794.68426807351,3270.87302170113,3069.22677230591,3772.28270776334
"0.0002828563",3563.96021185951,3430.85931445371,3477.94701929239,3411.16381164554,3003.90249944743,3509.87048192002,3946.63980026018,3432.39264817786,3497.75997089133,3960.68760986095
"0.0003104344",3910.31159053547,3237.75538006845,3409.42945500057,3552.2334211355,3286.46342864961,3503.22073908541,3917.89715374813,3436.72699234275,3584.95085910418,3366.49185392372
"0.0003407014",3629.3977978919,3473.09961290897,3345.23241045127,3303.92494866507,3449.04284918717,3900.48693349789,3750.82690605458,3523.92423242739,3339.81062847637,4065.35544859112
"0.0003739193",3646.08557822677,3322.94321714502,3525.57616861945,3454.83877003438,3196.61549627175,3653.40689663736,3531.18817226288,3421.3824551214,3583.07850880117,3946.69017355718
"0.000410376",3498.9607909569,3295.37058968933,3112.51698274602,3583.93646380239,3422.69237396252,3610.99881232974,3674.59306734673,3488.88740876383,3160.65522510119,3896.37214752581
"0.0004503871",3488.12016932518,3327.36615189138,2906.20763190581,3434.62040266059,3658.71804693864,3655.92635174116,3794.21078694584,3708.33684488581,3198.51304411516,3969.9186258528
"0.0004942993",3506.20522628026,3486.63760844519,3259.31743766181,3488.33217439798,3284.18110509139,3909.15455774114,3817.01860610046,3474.85372105622,3655.54979391245,3231.54376616145
"0.0005424929",3792.601493032,3519.49305525892,3414.43099354612,3661.60989616875,3055.68657912355,3481.13137101403,3761.97724234927,3660.68615558547,3582.32273194888,3489.60275302042
"0.0005953853",3886.74692990822,3432.66117720755,3450.61493494588,3653.66138689188,3525.90845220422,3453.38153712612,3657.63868131221,3233.5361637304,3371.51276998912,3451.14201873264
"0.0006534346",3494.7254230809,3480.97578132299,3419.85473998906,3556.52870268309,3059.96655522264,3650.36857076118,3809.17737838571,3360.39085076048,3552.5542127488,3733.59831201205
"0.0007171437",3307.45442534129,3259.50783322112,3728.17248873289,3442.93829140374,3275.84327878389,3820.7348935978,3913.44593227837,3544.18474369853,3708.50715802409,3620.15596135343
"0.0007870643",3359.7040651205,3589.27835545425,3712.08723335381,3419.14863121124,3540.86907922072,3674.20158621769,3827.68438633383,3398.6626482389,3647.50027549741,3804.9937604471
"0.0008638021",3258.63568881385,3367.04423841924,3722.37494037409,3549.64884649512,3514.24521823448,3791.97750893473,3632.53639040243,3518.53130092023,3724.80686143008,3782.90003748647
"0.0009480218",3641.28273925288,3248.22889068517,3281.69075474683,3446.20765371635,3317.97615665944,3705.27387355624,3745.27304892952,3542.21792239849,3591.71330421469,3937.99223807745
"0.0010404527",3789.70038948365,3351.30183876255,3573.78956863986,3192.09052746315,3242.7181819181,3763.17854791247,3391.6795048548,3807.42703215477,3542.93023038268,3653.85550239118
"0.0011418956",3477.14844034749,3369.10864970104,2985.02821015843,3413.59027768437,3259.80213280718,3794.10415053805,3684.45541941849,3429.18910604157,3612.20630621221,3783.31893831728
"0.001253229",3707.47235346938,3508.45393799745,3471.44348659686,3327.01447245728,3475.83454761598,3406.15095546179,3764.3882567936,3593.88281821867,3410.13156556789,3787.42050629483
"0.0013754173",3684.91432655315,3141.02964613641,3504.66438389579,3174.30246771933,3285.32160475832,3705.81561225143,3565.42980779448,3347.99343844721,3748.23175384334,3730.03767657032
"0.0015095187",3677.95933297717,3369.89186229184,3276.47650942326,3342.5367109751,3156.89240265934,3651.81641368727,3975.86736482526,3384.60907378092,3587.65329288085,3745.8529469767
"0.001656695",3627.12806239287,3352.18152309919,2945.48124125922,3529.60589941541,3267.84329527106,3460.47940349088,3710.82992344698,3464.31402852079,3320.46357247339,3705.77584520108
"0.0018182207",3902.52056017724,3510.2934638919,3473.87469481912,3334.40257547971,3304.06719575744,3343.51135863282,3695.88986529502,3377.1137836882,3711.02917080216,3660.37404724477
"0.0019954949",3283.34607158052,3413.52778745609,3568.95547575185,3118.82019753904,3117.57544778985,3414.40951049292,3651.10960313478,3282.25486045076,3588.80527935022,3828.58018282559
"0.0021900532",3522.68467110087,3010.19490894707,3046.01714266309,3396.05624136919,2919.39965861173,3505.08898563626,3758.27316328844,3618.75463393049,3565.01486351563,3633.88996594591
