"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2.9e-06",3011.8532935539,3381.3699431696,3304.43152589468,2528.84192993588,2975.9626166961,3202.70587414915,3133.2120374654,3110.61996182982,3683.99933875866,3431.99267532919
"3.1827e-06",3294.41780278145,3501.71628401153,3201.0696473721,2629.78150771168,2938.85953391541,3300.00691376287,3264.88319064813,3144.49639350198,3867.52510014789,2847.88494817023
"3.4931e-06",3297.99922439614,3182.00695384566,3082.4666243175,3040.3578667342,3044.5408147387,3122.97852591955,2987.84007716005,3135.21946998568,3714.231693417,3135.15408152224
"3.8336e-06",3085.36009204331,3145.69928202834,2786.25988601884,2787.17778273962,2951.86060902975,3165.31444952509,3182.06929418674,3164.46891890121,3381.57898601005,3028.16624404156
"4.2074e-06",3297.64793204286,3383.45923435056,3078.44442839078,2945.80298474389,2756.71393066115,3048.56205512761,2684.07922672581,3204.77717756887,3501.09039801769,2801.36454312951
"4.6176e-06",3194.11954335406,3453.46256663342,3344.75194030164,2913.07753604929,2910.45422808056,3328.74479890137,3362.41730555859,3379.36357482494,3695.41602015509,2915.07979551997
"5.0678e-06",2960.69390545898,3398.32826891913,3184.95379681536,2984.34187019565,3008.13559270734,2989.28308861549,3239.96396961264,3293.44084322037,3626.57868547719,2943.72614786288
"5.5619e-06",3309.3538108463,3571.63791290201,3035.66427839595,3017.8837237993,3099.51281654693,3355.96480635988,3594.76318028535,3065.60773214961,3553.98482306058,2970.04648339737
"6.1042e-06",3199.23388253842,3287.30438744251,3402.91111021498,2926.05280897943,2760.25270076825,3029.11356305253,3199.77068711985,3003.97289360405,3953.60441916669,2944.99442729018
"6.6994e-06",2797.43544730215,3380.16976615913,3412.06423648041,2734.70373024766,2892.7491544698,3275.79457579609,3149.9534056594,3509.42507660282,3156.93905374681,3171.7724862219
"7.3526e-06",3140.20096465165,3177.22796907214,3148.28358064295,2955.79508969922,3054.04199589968,3046.97723022877,3259.6883580535,3333.58152263648,3635.90708613488,2905.05042606187
"8.0694e-06",3179.70263125278,3375.21431395501,3326.31565813117,3227.12285661426,2892.77126628913,3228.26843484677,3249.95821582655,3389.5377820382,3408.15045576858,2935.81219540867
"8.8562e-06",3467.16729229468,3029.4611955046,2954.58014501421,2845.43371840219,3116.18266272671,3039.85791498838,3610.5511053374,3040.24595267908,3735.96036121173,3031.79535769607
"9.7196e-06",2826.89493839715,3098.10509113638,3248.99820538831,2791.3011643616,2823.84380544161,3166.27551773437,3233.61000679831,3042.60984585196,3290.85092934296,3127.97848052884
"1.06673e-05",3260.75296346933,3268.70911018004,3331.70124549957,2965.97479335101,3125.28384478182,3013.7672597953,3524.08793306517,3162.46952521193,3671.47090377807,2776.40045074216
"1.17074e-05",3198.2651424981,3506.32630977059,3231.96671981741,2773.63613365025,3159.2284046729,3140.06378236748,2910.63702540241,3267.01959709306,3611.37282987555,2864.09754691888
"1.28488e-05",3439.50342463322,3271.92931824561,3176.10672161376,2648.64358613483,2911.88883231305,2938.15448392697,3221.6133311556,3230.21769068048,3601.67472916149,2786.58974238709
"1.41015e-05",2838.92834551163,3104.94642120194,2975.45307240162,2734.79820439922,2847.04483108282,3139.90893311675,3243.32553956252,3196.75040435023,3481.25438714717,3253.94537182996
"1.54764e-05",2893.65545051592,3065.93693065279,3302.96490897278,2754.86869873973,3345.13982235797,2971.56308692331,3325.57899269696,3144.33861203755,3728.39983177572,3067.5321569367
"1.69854e-05",2967.71756751868,3145.65333838677,3234.76793911114,2792.13404331335,3128.20218229493,3033.16394861863,3784.19357484187,2982.15080032492,3643.12080833714,2883.06151855579
"1.86414e-05",3069.98174545998,3392.80006981771,2795.05380797375,3179.18542336319,2798.31293947512,3133.96380739927,3734.65217784743,3029.47403209638,3084.54077326034,3067.55975274324
"2.04589e-05",3003.0055336509,3725.8395121531,3172.33946274847,2904.23543773936,2901.18047504538,3319.80543989114,3350.73166206653,3254.90155989303,3512.24035684805,2975.96839469179
"2.24536e-05",3144.5889800728,3162.9362015116,2852.23358755287,2905.30175135369,3189.90617098323,3109.51341658907,3254.23546974743,3331.22232457097,3733.98695939491,3418.96466167885
"2.46428e-05",2805.80677846202,3103.46034252606,3031.22240261535,3054.87913437933,2652.51846747604,3151.03775542435,3657.48242370801,3123.0176969794,3555.22417548676,3126.48824104308
"2.70455e-05",3218.12660390004,3240.58244748508,3059.27099389504,3064.39280441343,2988.11523580361,2964.69153241792,3174.11689178697,3234.81003812054,3753.11243016334,3147.15268553152
"2.96824e-05",3102.16367345203,3351.9341484315,2994.97870080857,3000.15496935447,2940.19207996268,3263.11314714782,3431.25366511606,2955.39367537755,3873.86295656386,3075.25125099197
"3.25764e-05",3160.76825260552,3442.93743924713,3055.34692945135,2744.12886727247,2796.65262618617,3396.33519868153,3379.00880762608,2989.49536976724,3821.87576797611,2827.79600742544
"3.57526e-05",3190.47453707133,3332.09360143378,3265.47892818697,3019.58249880946,3046.69913107519,3148.97744850869,3309.98486632309,3010.77685628217,3014.62938208204,2783.91051871691
"3.92384e-05",3381.77068504907,3608.22289521423,3236.26306821301,3300.36783516282,3029.17735322087,3241.26961976601,3235.89246247569,2913.00550610214,3533.35811020585,2895.9857526302
"4.30641e-05",2782.44090024328,3334.27479018271,3061.72086663637,2961.46415323282,2842.4716809629,3102.71169639526,2939.07318331806,3112.34078576912,3407.95175461168,2593.36757129836
"4.72628e-05",3462.52114643485,3200.14988313362,2922.08116577941,3209.02911252958,2978.71710358999,3029.27773666466,3226.28271416533,3602.7011323576,3727.7708696598,2975.44544922577
"5.18708e-05",3152.88751977691,3439.97415588208,3068.88588569955,2928.322763264,2940.8172322528,3201.45238291702,3466.53336394547,3267.47930058396,3641.59566295516,3111.51983512966
"5.69282e-05",3152.26330837015,3396.90413952172,3115.1832507536,2999.82814300256,2965.68030513518,3356.09293749061,3298.63235072929,3358.89640863384,3795.74772469957,3057.88805281715
"6.24786e-05",3217.4394041887,3204.29102134396,3259.72409518344,2874.34711060373,2837.79916858796,3181.8804808188,3267.64439763943,3227.4892848217,3709.7281214786,3009.58149360883
"6.85702e-05",3033.26962473726,3445.92981853107,3064.15723374769,2932.91477921142,2610.49545434323,3317.36054458375,2974.5274605352,3269.98533379281,3316.59679861922,2910.10690041916
"7.52557e-05",3123.56576937116,3112.48882454421,3180.40779336197,3118.18233419778,3025.35632079606,3017.6969316345,3342.4912770205,3331.13723984149,3544.49520097129,3208.60915833403
"8.2593e-05",2932.06628440653,3350.5381447666,3162.01319983536,2868.80462187379,3005.65004961752,3238.99562063548,2906.81327443632,3084.01578533989,3340.46164328011,3120.65540516532
"9.06458e-05",2998.57268526285,3232.32921812695,3280.12158204491,2750.06485438297,3230.50906713141,3413.44736527509,3108.35830310846,3107.77136849432,3853.70377434029,2864.60473616915
"9.94836e-05",3301.68261666675,3355.19026708154,3133.78668385083,3045.14811259764,2866.58835938964,3391.74584749682,3133.68207320978,3470.42358693089,3620.02550946001,2845.98168069831
"0.0001091831",3197.15916881871,3366.99192116963,3220.66987087375,2930.25801925401,3211.77176820784,3080.22523901974,3174.06307790921,2999.96332620671,3813.63204685796,2889.7078954202
"0.0001198284",3121.94790525474,3258.59877222921,3388.50589004454,2841.64138147796,2809.21052736335,3430.69286089303,3343.37847310161,3357.1298744692,3517.81386704976,2856.9233446835
"0.0001315115",3026.4582950427,3345.87800497133,3163.09224816306,3312.65517589737,2779.9441608328,3329.2718755716,3358.16704080781,3445.63119783443,3685.51183212247,3129.45598191442
"0.0001443337",3197.2769945016,3394.90730876262,3344.18481247638,3121.17306697756,3066.72367501046,3229.04089776995,2952.29110187605,3289.80731837342,3676.19829610095,3295.70182662737
"0.000158406",3048.27267817757,3358.14263880076,3002.29046704505,3194.90193132202,3059.7158742494,3244.63870102013,3180.38078387623,3338.17528008309,3621.53107482078,2757.17807511844
"0.0001738504",2995.86338688741,3337.91055957203,3219.49990979002,3025.40726241495,2821.03438294611,3219.83462415441,3023.60515214112,3256.28592373209,3639.1854475989,2943.88811091966
"0.0001908006",2964.51352091499,3558.66782573438,3033.70154852392,2774.58804215703,2897.99509546823,3464.17372988844,3405.87357528115,3065.87983127127,3355.79121423788,3104.34676295716
"0.0002094035",2824.48399287654,3352.29081467833,3193.55820900837,2821.72912059423,3067.74037836671,3111.81411688873,3174.65254720507,3137.10596270434,3513.77871565803,3101.90123739179
"0.00022982",3179.49281942063,3257.7079077778,3479.54384498682,2855.22819509607,2752.44492685702,3110.83196018253,3077.59106813007,3126.66411196057,3582.68506927901,3078.27266498714
"0.0002522272",3134.87045603887,3195.44521742993,3110.92027429203,3004.17093307123,3210.02970710693,3153.64637555243,3121.24202925254,3337.42401043158,4019.23904690397,3093.02496002303
"0.0002768191",3264.06520765833,3167.53617957666,3420.81638298028,2528.22645881704,3056.50419478087,3162.29969164946,3366.94103659936,3376.27261120353,3766.67262927739,3057.60678816683
"0.0003038086",3283.05544456632,3356.43613798236,2723.50656481713,3157.01373504547,2954.1207071393,3267.80532355286,3231.03358800996,3360.27393112458,3465.29539128433,3211.7170378258
"0.0003334295",2987.1322496345,3396.11452079799,2978.79565951825,3208.71703892258,3118.3003544404,3285.03725969641,3073.51615619385,3387.35290681833,3622.00314729334,3339.59313456928
"0.0003659385",3085.44416019784,3191.15746597185,3081.01518888078,3203.75060227191,2981.04852607221,3350.78458288189,3269.46617280192,3117.12261227667,3355.23988073735,3033.51995055682
"0.000401617",2927.56505819207,3368.32327888556,3421.17833569547,2901.23780090024,2781.06226277303,2891.31006351203,3026.7814991297,3069.00393586915,3744.83868966888,3422.42582863024
"0.0004407742",3083.65199739771,3669.69760541395,3133.85104082818,2888.94937577462,2822.38646365821,3305.82450485055,3866.65406745229,3338.27940693239,3592.78233484614,2929.64189518042
"0.0004837492",2948.05058460184,3296.61133650243,3236.62007020336,2967.46567208854,2735.64241780373,3232.52281619996,3285.12288273756,3097.28722702755,3560.61021388596,3024.21013384975
"0.0005309141",3169.28829793921,3400.91704831359,2827.63804663093,2807.63275672248,2989.75573396853,3415.79841149506,3286.91249675729,3337.76209693085,3558.12431858572,3048.56702145447
"0.0005826776",3191.61170281716,3171.67835811948,3061.94580246598,3201.74731125595,2949.30233722249,3186.89713018277,3488.36827654935,3137.41613733462,3502.43428954021,2965.38774531814
"0.0006394879",3251.81176817462,3170.43911583608,3162.28809875985,2841.18616205088,3168.57076777452,3212.4019592847,3430.92323480713,3567.58689996886,3549.91025074682,3080.1599006038
"0.0007018372",3179.00935641778,3322.6583328483,3383.17004538677,2939.0973641818,3140.51750691145,3353.85721889315,3070.20567960353,3418.96462339783,3517.40229208624,3062.6725669129
"0.0007702655",3256.90679133867,3306.92543748126,3251.01454055526,2924.75318675129,2778.47105038841,3333.75244033779,3425.20555262807,3033.84915853355,3803.71441916551,3153.29412636127
"0.0008453654",3222.25250098951,3251.94950821827,3204.44558531178,3031.22178035913,2764.17835932338,3048.34306783607,3437.39599636507,3133.3609295654,3500.12030508047,2950.87408113899
"0.0009277875",3422.90904884459,3179.25091946629,2921.68776141163,2666.95674515192,2718.45923936787,3210.42360646552,3528.01481888727,3194.29013689504,3742.06582651814,3126.85321826169
"0.0010182456",3007.01934609564,3473.36688865598,3160.87642899939,3015.79504123141,3211.57961650015,3073.76197144379,3342.03601033752,3083.76781741454,3163.42814883575,3041.7994902298
"0.0011175233",3205.10189214869,3319.06862147276,3208.08278653433,2974.2601096174,2888.35743931375,3284.96112761024,3469.5204128387,3272.03117228714,3428.66786683797,2748.36149845618
"0.0012264804",2716.44011500044,3085.76645208258,2953.7096523498,2606.69574211105,2962.62464506077,3311.98182779038,3135.87009482904,3195.61921995964,3499.29049496762,2938.19546248421
"0.0013460608",3005.47375018321,3159.43372057007,3048.92889630334,2651.78233871962,2847.44452941154,3196.19978655081,2948.55378221248,2946.70269957021,3425.85541363193,3164.62513832692
"0.0014773",3085.52354229462,3527.22177900963,3016.30178896192,2674.53748174189,3015.36826105425,2840.92225253909,3119.53835674317,3525.03191972197,3471.15001582692,2971.79787248391
"0.001621335",2968.331174373,3217.6931326533,3002.89931717865,2618.95720916713,3028.81744062835,3006.73479812378,3170.2908709928,3060.66901844893,3354.54273671009,3035.6966470369
"0.0017794131",3333.44882798382,3121.13749462107,3042.43612281451,2750.42297061292,3098.16702436528,3290.0812061178,2592.34717816655,3386.59125536428,3471.49784246351,2836.54075308459
"0.0019529037",2895.62829719964,3255.72736596505,3059.08268983326,2595.67811705425,2833.42876153067,3022.98954441086,2918.10757324028,2971.71233503077,3474.16425151009,3032.73123684998
"0.0021433094",3110.95940953286,3368.85924946189,2952.34089128885,2673.15153201608,2689.2833938039,3145.49196765314,3071.81220015091,3072.23839563719,3430.51513090217,3001.25205177251
"0.0023522794",3114.05317203368,3400.35709107939,3223.04666507809,2593.76537111983,2945.13849973103,3174.11858276517,3035.69015342906,3277.67766925747,3577.17883576256,3149.800720554
"0.0025816237",2895.2932904669,3053.29473489385,2895.18445791962,2625.41443807812,2830.84223988108,3073.96251415832,2824.26976559732,3354.93926632817,3438.1991149963,3001.33369634977
"0.0028333289",2787.50916063885,2901.16769353981,2980.48144792965,2640.034752986,2787.30375036694,2973.50258487207,2833.49703427071,3047.39507887111,3267.89747874192,2888.43944724317
"0.0031095749",3015.00472344875,3345.94349314785,2983.4507826102,2829.97926752807,2827.52697633742,3137.40214762066,3097.51511900591,2927.54057202327,3599.49858540876,2680.0948468945
"0.0034127547",2919.12442969049,3087.11932636138,2846.39366283303,2461.26143405703,2593.56988658927,2992.04839848753,3056.05124965964,2913.97082694797,3437.56539366059,2844.84466844323
"0.003745494",2817.19756313675,3071.3355496603,2884.01454319733,2657.13147643007,2858.61717917429,3205.32446215412,2845.54599933195,2900.41479706789,3468.96400563095,3195.88514855297
"0.0041106751",3118.19577840365,3321.55108506516,2801.37904026293,2826.74083055082,2698.71114283946,3340.72339365038,2858.43028820092,3232.37788518946,3307.88542293219,2865.54670813723
"0.0045114608",2860.55279061379,3047.82348784114,3296.90178834319,2733.52240518646,2646.48159315903,3022.18727907651,2832.03590786551,3116.33981277108,3236.88297935823,2843.86496728577
"0.0049513227",2722.60707854664,3193.79864047544,2795.83174273763,2845.35586894813,2694.78484569572,3080.27047378299,3252.97489819143,3087.51367260305,3405.49570814799,3052.35457249611
"0.0054340705",2722.12796411868,3145.95606209086,3045.41007351225,2845.86487552503,2740.61547770381,2896.68173030935,2791.78719281938,2785.82612467345,3421.74881085219,2707.02126083806
"0.0059638857",2858.37184927525,3118.25830967753,3009.4870435956,2831.4189661515,2867.06713174952,3141.45590982729,2848.20500148436,3059.49345175196,3403.97131110875,2666.29721909701
"0.0065453572",2824.05782659007,3182.03837600199,2864.56395446866,2735.56339313904,2854.91210790352,2892.45911011608,3049.1814604064,3129.21680276766,3315.19788395041,2752.96601295493
"0.0071835214",3053.21816309898,3003.08604615185,3086.91243607865,2784.6770425781,2737.74769596986,3098.8717207911,3116.51299534471,3107.68398360945,3439.15904677752,2759.38881095231
"0.0078839059",2886.31060842025,3165.64735780731,2914.88220788033,2767.65668154378,2790.06865257044,2769.97247543572,2945.90917829413,3088.52654722728,3590.37149758147,2824.36143344691
"0.008652577",2816.98405863368,2717.70588726028,2817.33983545616,2586.31536779164,2870.57365283828,2974.81939848423,2910.31182298154,3079.38597509716,3402.89551442994,2996.76493939277
"0.0094961926",2925.71067147964,2727.33953346627,2939.1036829408,2896.66945978025,2434.50182268267,2873.71268441595,2826.32144270156,3015.3121171619,3240.02060875659,3006.22299379395
"0.0104220596",2923.38899206823,2776.2141288943,2692.94001178759,2857.55485521804,2517.08421231977,3042.23621943956,2737.70060653827,3075.88019410075,3404.83258701673,2940.80075735786
"0.0114381976",2947.41169943157,2932.70830867633,2740.71788494184,2534.24900095222,2500.06535828446,2919.16310815847,2874.3952841052,3066.9889414587,3388.04523797162,2778.93126090197
"0.0125534077",3068.23426379175,2745.8135641134,3144.55374523334,2407.77968817551,2496.83484039565,3038.02602790524,2782.92743476502,3068.50906782241,3494.72258948913,2423.38075455927
"0.0137773495",2784.90088338643,2917.04604409729,2664.67468586843,2430.36856285525,2639.62635648793,2788.96499457403,2840.7800491251,2943.0809326668,2798.52351986672,2472.20794911519
"0.015120624",2551.06130092714,2852.14689464189,2417.91999436344,2636.49662407858,2410.84757870723,3099.1452466567,2567.65284463956,2889.07701139551,2637.3540366937,2481.83762646467
"0.0165948662",2777.47732110428,2664.9188580836,2615.77238760335,2372.09866921155,2340.11152104953,2601.89155861578,2398.2002919298,2618.7785472102,2805.32697012984,2396.60502831938
"0.0182128452",2631.85775754836,2589.47960169095,2602.69058408974,2399.26102061962,2595.91538254038,2678.03492278316,2476.30195838561,2868.89772355615,2971.27599456422,2574.75491163033
