"","V1","V2","V3","V4","V5"
"2.7e-06",9301.02864880782,8679.40743385895,8653.7985151744,8682.27968191315,8282.43033479697
"2.9632e-06",9637.5305588732,8135.44587328011,7940.19970728015,8025.5963565444,6693.97779661114
"3.2522e-06",9122.92863900435,7442.31857890249,9278.40320697883,7721.37894298086,8147.11717958677
"3.5692e-06",9244.52577134938,8091.9980232727,8271.23306040429,8753.08942597075,7264.87102182471
"3.9172e-06",8929.78040441982,8087.37840283411,9888.08608508524,8161.05820933435,7519.94381946581
"4.2992e-06",8988.2404139131,8600.88705713328,10088.1321605355,8840.32049407376,8267.50778678383
"4.7183e-06",9603.08137937394,9082.96989390079,9340.53956310913,8354.30468290828,6759.08827965224
"5.1784e-06",8834.74813544473,8736.87869103273,9687.83412589984,8348.53922964323,7305.95531172916
"5.6832e-06",9300.98676822233,7841.73798319318,8176.04417825229,8698.82873414345,7582.62824611936
"6.2374e-06",9010.26866251066,8796.19582623488,8275.48822725736,7909.72462693108,7174.79572001224
"6.8455e-06",8028.15159007551,8511.82033949269,7476.86531024338,8891.63609728751,6753.933143264
"7.5129e-06",9035.16586517499,9125.26909374165,8957.44952651997,8298.24810459226,7418.86380180677
"8.2454e-06",7971.48725158214,9018.87370035435,10363.825671356,8312.96789373016,7508.79329874941
"9.0493e-06",10788.2226818257,9076.06063517718,10593.8063382483,8338.18616749806,7862.12472951009
"9.9316e-06",8767.28953481803,9472.77153396624,8328.2812600246,8695.95792351502,7212.4528135913
"1.08999e-05",9484.45140897637,8097.30539952605,8871.8435027133,8999.50745193392,7101.32780434398
"1.19627e-05",9961.46984028134,9804.60893393922,9148.10918340076,9060.07412045797,7511.89590211409
"1.3129e-05",8301.6135784128,8270.98733985141,9681.52341281901,8140.46953498141,6250.67970377541
"1.44091e-05",9989.88031808197,8541.15464252651,8792.57616997911,8070.58927846306,6738.04500613739
"1.5814e-05",9330.66676036923,8546.7286692179,7674.69819617638,8373.90564568623,8383.77430996545
"1.73558e-05",8879.88263883587,9345.06406438382,8489.73456556034,8626.56410993545,7893.52221227228
"1.9048e-05",9511.74046316487,8576.79098469985,7778.93779716149,8114.30268436815,7879.26687885993
"2.09051e-05",9234.79709919055,7776.05962687652,8024.10062770806,8615.34867309048,7574.60846681697
"2.29433e-05",9386.97704081556,8499.69018219261,8344.48711318546,8770.99632841498,7544.88965781187
"2.51803e-05",10018.3329703451,8382.67548323684,8786.98941257934,8719.87870245056,7318.36120174891
"2.76353e-05",9331.5535392752,8872.97242931283,8348.69063662142,8289.68658279609,8089.44373733336
"3.03297e-05",8172.76373412381,9155.68863684592,8423.77549661789,8729.99342901345,7333.40315330594
"3.32869e-05",9352.65819253876,7658.79598825802,9585.39006429274,9414.24021332772,7221.86921947246
"3.65323e-05",8474.56879560071,9148.52353173374,10434.0980912661,9361.85840749037,7381.6140118025
"4.00941e-05",10236.3842979988,8093.28796896245,9766.98378051446,8919.81707171238,7802.87224970612
"4.40033e-05",7353.69267081781,9655.89957987928,8061.23487343115,8532.09425621812,7267.81960717652
"4.82935e-05",9807.04931129784,9362.03117118572,8321.55560017568,8039.78017408069,6773.07040904566
"5.30021e-05",9995.56387511308,8328.86022147853,10143.0752917288,8031.23945365733,7982.057738175
"5.81697e-05",9303.30233247079,8668.77882590711,9991.90243877272,9598.78409446345,7864.70721872168
"6.38412e-05",8287.20569299766,8857.61788543243,8316.18874634222,9261.88524695624,7306.69234662578
"7.00657e-05",9209.34657647096,9031.18879625127,8224.47462531715,8351.86970736441,7326.39061897987
"7.6897e-05",9048.32680928358,8370.80760336291,8851.96143995085,9309.79728920337,7549.04798997512
"8.43943e-05",10560.9433356942,8868.72600689256,9327.65573473213,8276.09340770442,7938.17057697895
"9.26227e-05",10299.5017915194,8501.19693610642,9392.50442014596,7807.22662364686,7378.61491306039
"0.0001016533",9122.90720648818,9121.72156252578,9759.03699628521,8774.27457618052,6846.60562675118
"0.0001115643",8425.86097619307,9102.92504332704,9090.89011718354,8443.85739226311,8416.40794969145
"0.0001224417",10111.0130896806,8865.67811547118,10126.0823660085,8942.28126065227,7845.01480728862
"0.0001343796",8643.25990730181,9009.55633912608,9493.47911413218,9206.1684295904,7602.93370384544
"0.0001474815",8680.72225432438,8601.02093737645,9094.92959631236,8595.45987387985,7431.80472546866
"0.0001618607",8947.29548289725,8622.08872761467,10080.4176983702,8093.37750311552,7792.22532547886
"0.000177642",8214.78422908305,9203.21505326693,9508.36379749147,8640.96451818397,8773.24661867476
"0.0001949618",9283.85728808124,7834.5674752457,10328.4427756672,8069.39976686399,7271.89984958861
"0.0002139704",9585.85514974124,8956.01035763089,7322.12668608044,8553.65730617917,7110.76366718102
"0.0002348322",9363.54701468332,8411.80313407453,8390.64029156655,7691.53234190087,7452.20334628375
"0.0002577281",9801.73103955997,8243.34977957337,8685.84015411875,8693.52300178304,8208.79327470969
"0.0002828563",9554.52039164803,8563.26868184105,8932.33564685252,8096.25710791009,7467.31597184495
"0.0003104344",8891.44156504643,8870.22946351981,9576.41186663066,8573.60607463113,6931.9881206394
"0.0003407014",9506.25798318063,8076.8681421836,8921.89275044599,8369.92690757904,7360.44393432169
"0.0003739193",9435.6972447714,8301.84036473455,9447.43536069102,8491.98189535285,7795.12472674988
"0.000410376",7781.16220202883,7793.29102823096,8532.85347560857,9143.14546578135,7605.60368681363
"0.0004503871",9104.67331834036,8156.037370549,9799.07263832208,8135.01420279974,7764.3419858368
"0.0004942993",9148.56672585953,7749.34800445486,9556.24894672801,8258.89723688244,6851.65276364243
"0.0005424929",9689.70164469096,7896.24749038379,8974.25561288126,8261.94676311102,7287.93986936248
"0.0005953853",8610.80944626957,7961.93990736649,9362.81381067952,8771.71446685552,8070.75646431229
"0.0006534346",8755.57264958419,8601.96208855997,8549.66296579121,7870.63379494572,7949.37570107555
"0.0007171437",8637.67120255578,8651.53977113846,9671.9336633021,9102.37121275786,7863.83125722264
"0.0007870643",7734.71017031389,8148.57571884934,9719.6157090809,7730.05119156637,7415.8041631524
"0.0008638021",9789.12259296562,7468.5717463506,9178.54698028413,8362.88902434477,6670.76836985003
"0.0009480218",7521.16111491149,8092.38813305987,8737.03626166998,7966.41219890633,7729.59036328029
"0.0010404527",9174.89831238713,8202.63864532051,9750.57690293276,8162.55978846128,7721.2893913154
"0.0011418956",8485.73144848664,8780.77702564565,8518.82231533778,9013.87775389544,7157.66808608389
"0.001253229",9579.50568270926,7653.5572192754,9086.00964138677,8344.75101152674,7212.65799288492
"0.0013754173",8371.10369885549,8428.88744704511,8475.99622514832,7140.77643443046,7550.44512861558
"0.0015095187",10006.3540115236,9398.13142530842,9210.64443327354,7826.62594983157,6806.84030818747
"0.001656695",9336.55433229404,8523.21082670637,8168.96630180355,7910.17668560752,7185.09544977669
"0.0018182207",8487.40152351441,7859.58096652103,9144.41775806577,7927.34002106825,6324.06452551783
"0.0019954949",8645.45661824058,8358.64553697523,8409.10529089549,8315.68761198313,6964.73311074716
