"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"3.2e-06",2949.27333914067,3442.77120432507,3273.49073818736,3067.54051097739,3204.44474506308,2959.26525819707,2992.72026156129,3353.56587917759,3355.58474906532,2711.19754380353
"3.512e-06",2886.96145411282,3405.80235153229,3353.32937052147,3486.58889195181,3107.92065750162,2814.69760796828,3004.86569632729,3151.68832422579,3335.06585613699,2527.2339315728
"3.8544e-06",2857.10609415503,3192.49441252517,3245.42193763948,3353.22426805851,3183.96689163373,3031.27245032091,3008.08634815666,3230.55869637807,3557.22733290823,2991.94575562244
"4.2302e-06",2403.50003091403,3042.37021861957,3237.30427807012,3538.82966201676,3130.76006610553,2972.19867390881,2834.28610817579,2651.49900837473,3348.56034361157,2764.20519758867
"4.6427e-06",2749.19742199536,3660.79175263366,3276.17714040573,3405.42023055917,3251.5304887917,3167.53923991256,3344.31000792695,3104.18494789358,3291.9447361145,2965.48490602843
"5.0953e-06",3167.80804914183,3261.67043718075,3092.91211139114,3455.0474117786,3182.36892726916,3357.19689248206,3089.28632951658,3516.64645118401,2630.98446172865,2955.67186916972
"5.5921e-06",2900.10528592537,3178.93316468944,3320.13580480731,3183.55729240673,3076.55782635481,3105.34693036189,3108.16340420533,3248.80800742572,3676.3369088105,2861.73126789808
"6.1373e-06",2960.57915098705,3255.50141955387,3189.08848167534,3266.33736010096,3043.84447922134,3151.869417049,3126.06437687917,3114.30567772072,3469.05139243641,2817.46508693031
"6.7357e-06",2928.75933457299,3494.28848835775,3174.70715045014,3295.93489158224,3259.91448240858,3007.04418078824,3293.36780238825,3054.58866110234,3073.75263788731,2979.93376619703
"7.3924e-06",3128.09611293574,3324.5155710557,3482.61877318498,3600.10069792606,3587.25780280647,3294.61303022817,3242.19709598251,2925.34761445518,3644.37807428189,2713.83734618212
"8.1132e-06",2847.73118575979,3233.47514433537,3215.0016047944,3290.84992196084,3424.93231001816,2895.59627330477,3316.79206082711,3119.13173350891,3399.94843185085,2699.95538189458
"8.9042e-06",3027.36631399003,3197.3652196499,3383.51229320766,3311.03191435296,3154.93994314051,2820.57125123573,3292.22605022468,3142.13562264393,3446.0531972192,2702.60814269945
"9.7723e-06",2956.87049179431,3397.66760162039,3641.63857821305,3629.85206697121,3486.75527540095,3347.23839031678,3155.53418186077,3565.91072690552,3306.34946680988,2430.76459836942
"1.07251e-05",3191.43530462009,3207.43587688863,3333.42130745955,3435.47942290322,3430.13800351613,2951.75232417266,3108.11879616798,3150.20355684628,3398.63556059318,2633.82524231751
"1.17708e-05",2970.83801570271,3257.51866144683,3198.26513065151,3338.15545576241,2912.30482884483,2897.91090829639,3186.72365377712,3237.04220262143,3244.94501467205,2944.03864570206
"1.29185e-05",3083.81480835802,3456.7997956206,3338.48614085813,3170.89482306573,3156.20781153811,3344.95588442624,2875.42318065935,3031.85316622275,2745.67475650962,2672.74901942833
"1.4178e-05",3109.81270866982,3208.76778950361,3335.13578373285,3562.8036908134,3322.57699456012,2892.95585211701,3030.0384707145,3027.2469237631,3177.51956972555,2791.44151945125
"1.55603e-05",2950.53629307734,3322.40297084128,3317.59718028805,3338.78346305443,3301.78938062816,2694.98639484528,3070.89871064283,3206.66445009187,3577.87517228284,2906.56396777672
"1.70774e-05",2834.445924807,2958.2095715991,3146.4658311869,3556.60750468455,3511.84976589226,2851.93494829747,3181.52465338676,3123.31509721915,2949.30798503919,2866.57123882065
"1.87425e-05",3078.37727985882,3129.98150566457,3147.31759292635,3172.50562527343,3122.51168929619,2994.42783462202,3098.54210682652,3190.49301424722,3281.6579617025,3029.68894329057
"2.05698e-05",2962.65204832702,3127.1420768113,3471.66818601681,3271.48058383636,3197.08848921493,3423.39570578318,3314.39449637236,3160.47834827927,3188.89921651447,2802.33932466153
"2.25754e-05",3416.83137148924,3333.29367426707,3481.63204989332,3307.39750169445,3049.50570388446,3080.87995207279,2963.1628956206,2866.57601521974,3537.15500323912,2876.29643158283
"2.47764e-05",3100.47500582194,3310.07560015384,3176.06646351363,3269.21436492973,3089.51709629851,3108.0848186918,2920.01083836791,3040.38967301793,3085.97932157611,2597.58411969757
"2.71921e-05",3002.31834186518,3129.85906591198,3338.54553734796,3772.59080065484,3276.00557356211,2887.24086603753,3502.06691835489,3388.85789058369,3221.45747446673,2970.84596334373
"2.98433e-05",2563.88081378306,3341.40386148741,3489.99063339897,3422.5025729637,3309.6035884453,3200.64796089674,2928.89036602101,3429.85932456629,2957.40296667285,2899.70240102807
"3.2753e-05",3104.05097575195,3175.75944142799,3579.31071226476,3220.4963772166,3510.81559033966,2843.38114866637,3269.92520695877,3085.51496042536,3375.56140811457,2832.7646122929
"3.59464e-05",2992.30708179115,3224.6751809021,3554.05375433815,3387.21602234272,3433.48094634574,3085.83382558054,3401.51377392028,3401.77685037154,3486.16292441383,3116.34605633137
"3.94511e-05",2751.18407059582,3434.59511132487,3151.36961135145,2909.44825090223,2976.2917674236,3347.83405481584,3330.1783029467,3317.9563660631,3505.84093708376,2745.74446635359
"4.32975e-05",2661.23152990108,3188.81014788371,3071.07289764516,3550.32117225658,3468.62850180478,2744.41315629895,3055.03331497034,3084.19952027012,3028.96928498119,2916.52853044032
"4.7519e-05",3029.69085783036,3315.60812425894,3425.81760591583,3492.9011812826,3453.89278383842,3325.08933048749,3008.65814009416,2985.32992203202,3353.89254204164,2866.64484265587
"5.2152e-05",3059.21030341129,3257.03333107105,3497.14642373976,3441.15503361585,3679.51262249115,2996.75188461132,3564.96779791889,3448.13583884491,3360.53866119183,3040.84469463429
"5.72368e-05",3003.7961879644,3394.05525106255,3759.5833709438,3548.7814505514,3242.13188819051,3239.56851643269,3151.74180666886,3397.8895264043,3891.15711397704,2582.17613079318
"6.28173e-05",3380.03435239168,3233.21785585771,3319.57363903932,3451.19448503231,3267.40064471807,2848.6990401491,3312.46805257125,3282.97823375234,2797.45640110776,3017.0250142383
"6.89419e-05",3127.86463092912,3091.27233227055,3111.53918315877,3381.20236925351,3321.12080808357,3743.00023207417,3255.61073759583,2858.4273803211,3363.11938068086,2684.8414530924
"7.56637e-05",2997.54191455152,3564.05606842839,3240.99299852076,3395.62508034104,3161.78482687095,3156.66507046049,3172.97475496614,3420.12850829362,3428.17690233798,2717.26094889466
"8.30408e-05",2686.92838475524,3430.93881686865,3162.76073197016,3521.63270294749,3094.15525671912,2868.01431474175,3382.45355359431,3460.53667220174,3158.76584187487,3097.61986184023
"9.11371e-05",3152.322815312,3533.68427412524,3191.84009728935,2944.11139480077,3149.21929280636,3297.67046378187,3234.89622765397,3655.81546906707,3246.37629684531,2703.88895167207
"0.0001000229",2600.68676522006,3290.96586889693,3215.96901052567,3194.16609318128,3192.72291800157,3283.00570056292,3297.88438492328,2832.3037020394,3445.43785577607,2875.72449346803
"0.000109775",2923.53965930704,3131.38583039006,3452.16162880559,3386.6727790968,3230.45514608934,3267.50242436514,3293.53115062731,2952.41982770094,3088.40257209741,3007.26601527343
"0.0001204779",2949.6634424632,3160.12400655248,3336.80781845547,3336.86770216696,3151.86528583899,3169.39575637398,2817.59268282132,3051.20948373548,3166.55986538216,2770.17526652499
"0.0001322244",3140.10835439144,3111.16159825398,3461.14474570242,3544.87895542217,3326.74807164997,2990.88500240745,2992.32259154548,3433.54130730939,3116.88445652179,2789.77754304086
"0.0001451161",2810.19727290442,3246.49452012757,3193.28182223177,3088.79591073055,3322.29649107016,3208.22481255455,2974.14450095102,3173.42947049473,3252.25169939466,3042.19565082528
"0.0001592648",2959.70148496049,3270.33829676132,3273.39082854856,3326.13675324027,3338.90271484109,3195.83333916429,2895.34614995337,3384.78568299267,3190.34658574197,2915.55330030067
"0.0001747929",2972.89932957658,3414.04769348236,3014.65514549056,3434.79113810188,3049.67949445088,3054.81641605137,3272.2476992546,3522.92290848795,3262.00430558274,2739.72615276143
"0.000191835",2840.68895064676,3108.91732366047,3059.30531818498,3200.68119610677,3125.01565364719,3010.94919182492,3442.20487941378,3009.31609922789,3296.12561994517,2967.37750466465
"0.0002105386",2726.42284264631,3088.93989752761,3223.07769449818,3430.26006835574,3242.94000795366,3352.11181456246,3288.21235431826,2815.09144823396,3185.62127668489,2954.27821772818
"0.0002310659",3118.19980320481,2852.03034027092,3485.76955421409,3301.1587851343,3504.24847398596,2738.45891573677,3270.50532616927,3329.95735201322,2995.25403731184,2541.02725920801
"0.0002535945",3029.26689062893,3296.6705327993,3367.39203787736,3323.22750571245,3181.9140615016,3024.87160079964,3130.5511276708,3003.74436475598,3255.5927389566,2759.80350693443
"0.0002783197",2936.49075919936,3224.36143674966,3279.37235858973,3734.91739622096,3193.08751300196,3378.42004120296,3004.91212947719,3197.17840413255,3262.92627516978,2885.76680570722
"0.0003054555",2937.58579909027,3079.77401567383,3143.03724841218,3524.37494939893,3393.11280172145,3152.46150080764,3285.43882021791,3542.8221066422,3177.42724828266,2790.82541475121
"0.000335237",2852.2280400462,3517.47777475969,3554.89406570461,3486.52335968151,2820.58907810651,2979.60594975303,3306.94486638511,3536.44484155472,3084.33030955125,2741.8386193123
"0.0003679222",2914.4724626056,3150.40889569096,3492.67821444914,3314.35733683741,3241.65240084085,2828.90703165207,2806.6816632403,3075.14720071134,3258.639158167,2943.2223679016
"0.0004037942",3114.94384256663,3093.69841911332,3675.54088269404,3507.70557432525,3029.33439651473,2782.47644870046,3347.14789267365,3234.6011894889,3151.26870445692,3177.81990082201
"0.0004431636",2796.96010641026,3182.4075161028,3286.51412012972,3384.71367284253,3223.0393668789,2919.56718403368,3086.636709032,3136.55331210362,3348.57569499,2765.07263963847
"0.0004863715",3235.56802222304,3295.29564690929,3381.27727158792,3603.59435002356,3171.08488321655,3285.48862414819,3003.26043545668,3205.66653864884,3226.26397514306,2670.3441911273
"0.0005337922",2991.85269640764,3018.3295769378,3567.45706963888,3102.17441348877,3082.79541936197,2983.4705304974,3364.25087319895,3461.33685122891,2787.07246303422,2786.39530991915
"0.0005858362",2892.16858125178,2982.36763429664,3496.86145723736,3867.74795978913,3302.12639680508,2908.58727694952,3207.19676925891,2960.9433114855,3354.26200996819,2632.19363657101
"0.0006429546",2874.66298079298,3334.42650632676,3652.78523962884,3673.20400475,3024.3144158234,3105.25733705941,3121.21815682704,3051.66305187134,3120.65954616784,2791.77766849083
"0.0007056418",3265.74863729181,3380.23050394009,3377.95518126087,3597.33586114987,3446.97206659562,3212.38986049978,3230.96405585328,2837.03292822524,3300.86492200531,2756.73734079713
"0.000774441",3242.24403007641,3362.4430210193,3197.38007083337,3347.68399602157,3018.79549315314,3264.60513745219,3390.74388158473,3016.0242440939,2740.85458602654,2756.1887268324
