"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,13,2,4,0.2,0.866666666666667,0.0808452083454443
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",1,12,3,4,0.2,0.8,0
"casebase.lambda.min1se",1,11,4,4,0.2,0.733333333333333,-0.0666666666666667
"cox",5,7,8,0,1,0.466666666666667,0.423659272868162
