"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,12,3,4,0.2,0.8,0
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",2,10,5,3,0.4,0.666666666666667,0.0605227532668802
"casebase.lambda.min1se",2,7,8,3,0.4,0.466666666666667,-0.115470053837925
"cox",3,10,5,2,0.6,0.666666666666667,0.235702260395516
