"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,10,5,4,0.2,0.666666666666667,-0.125988157669742
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",2,7,8,3,0.4,0.466666666666667,-0.115470053837925
"casebase.lambda.min1se",3,7,8,2,0.6,0.466666666666667,0.0580258853185659
"cox",1,8,7,4,0.2,0.533333333333333,-0.235702260395516
