"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",2,13,2,3,0.4,0.866666666666667,0.288675134594813
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",3,9,6,2,0.6,0.6,0.174077655955698
"casebase.lambda.min1se",5,5,10,0,1,0.333333333333333,0.333333333333333
"cox",3,8,7,2,0.6,0.533333333333333,0.115470053837925
