"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",0,15,0,5,0,1,NA
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",0,13,2,5,0,0.866666666666667,-0.192450089729875
"casebase.lambda.min1se",0,9,6,5,0,0.6,-0.377964473009227
"cox",1,5,10,4,0.2,0.333333333333333,-0.406181197229962
