"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",18,935,45,2,0.9,0.954081632653061,0.492138507460233
"cox.lambda.min",18,918,62,2,0.9,0.936734693877551,0.431794300167913
"cens.prop",0.2975,0.435,0.2675,0,0,0,0
