"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",17,899,81,3,0.85,0.91734693877551,0.361329561458882
"cox.lambda.min",18,935,45,2,0.9,0.954081632653061,0.492138507460233
"cens.prop",0.335,0.3875,0.2775,0,0,0,0
