"","Model","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","cv.glmnet relax = TRUE, lambda min",0,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Relaxed LASSO implementation, glmnet(), start CV AFTER predictors selected",0,0,0.001,0,0.001,0,0.001,0,0,0,-0.001,0,-0.001,0.001,0,0,-0.001,0,0,0
"3","Relaxed LASSO implementation, cv.glmnet(), start CV AFTER predictors selected",0,0,0.001,0,0.001,0,0.001,0,0,0,-0.001,0,-0.001,0.001,0,0,-0.001,0,0,0
"4","Relaxed LASSO implementation, glmnet(), start CV BEFORE predictors selected",0,0,0.001,-0.001,0,-0.001,0.002,-0.001,0.001,0,-0.002,-0.001,-0.001,0,-0.001,-0.001,-0.001,-0.002,0,0
"5","Post LASSO lambda min",0,-0.014,0.001,-0.013,0,-0.013,0.001,-0.014,0.001,-0.013,-0.001,-0.013,-0.001,-0.014,0.001,-0.013,0,-0.014,0,-0.013
