"","Model","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","cv.glmnet relax = TRUE, lambda min",-0.02,0.015,0.002,-0.016,0.03,-0.042,0.008,0.003,0.013,-0.041,0,0,0,0,0,0,0,0,0,0
"2","Relaxed LASSO implementation, glmnet(), start CV AFTER predictors selected",-0.038,0.006,0.002,-0.016,0.048,-0.045,0.008,-0.016,-0.011,-0.023,0,0,-0.049,0,0,-0.033,0,0,0,0.037
"3","Relaxed LASSO implementation, cv.glmnet(), start CV AFTER predictors selected",-0.038,0.006,0.002,-0.016,0.048,-0.045,0.008,-0.016,-0.011,-0.023,0,0,-0.049,0,0,-0.033,0,0,0,0.037
"4","Relaxed LASSO implementation, glmnet(), start CV BEFORE predictors selected",-0.034,0.003,0.005,-0.018,0.047,-0.048,0.001,-0.021,-0.012,-0.028,0,0,0,0,0,0,0,0,0,0
"5","Post LASSO lambda min",-0.051,-0.011,-0.021,-0.041,0.007,-0.067,-0.024,-0.024,-0.015,-0.065,-0.008,0.002,-0.023,0,0,-0.021,0,0,-0.01,0.017
