"","TP","TN","FP","FN","Sensitivity","Specificity","MCC","Coefficient_Bias"
"glmnet.lambda.min_reference1",8,7,3,2,0.8,0.7,0.502518907629606,3.63084481039786
"glmnet.lambda.min_reference2",8,7,3,2,0.8,0.7,0.502518907629606,3.68532415942551
"mtool.relaxed.no.pen.lambda.min_reference1",6,9,1,4,0.6,0.9,0.524142418360959,4.36484756533271
"mtool.relaxed.no.pen.lambda.min_reference2",5,10,0,5,0.5,1,0.577350269189626,4.40551051356012
"mtool.relaxed.small.pen.lambda.min_reference1",6,9,1,4,0.6,0.9,0.524142418360959,4.36484369634005
"mtool.relaxed.small.pen.lambda.min_reference2",5,10,0,5,0.5,1,0.577350269189626,4.40551709955972
"mtool.relaxed.significant.pen.lambda.min_reference1",7,9,1,3,0.7,0.9,0.612372435695795,4.28163476409412
"mtool.relaxed.significant.pen.lambda.min_reference2",6,10,0,4,0.6,1,0.654653670707977,4.32983995378102
