"","V1"
"glmnet.lambda.min_reference1",3.22306062332523
"glmnet.lambda.min_reference2",3.28807115098636
"mtool.relaxed.no.pen.lambda.min_reference1",5.07464671439639
"mtool.relaxed.no.pen.lambda.min_reference2",4.35202986417047
"mtool.relaxed.small.pen.lambda.min_reference1",5.01679357601381
"mtool.relaxed.small.pen.lambda.min_reference2",4.3676707106667
"mtool.relaxed.significant.pen.lambda.min_reference1",5.40959754332185
"mtool.relaxed.significant.pen.lambda.min_reference2",4.2175187346766
