"","TP","TN","FP","FN","Sensitivity","Specificity","MCC","Coefficient_Bias"
"cox.lambda.min_cause1",10,9,1,0,1,0.9,0.904534033733291,10.8956559985416
"cox.lambda.min_cause2",10,10,0,0,1,1,1,0.0985278921041742
"casebase.cv.lambda.min_cause1",10,2,8,0,1,0.2,0.333333333333333,11.125280163989
"casebase.cv.lambda.min_cause2",10,5,5,0,1,0.5,0.577350269189626,0.329292168451235
"casebase.relaxed.lambda.min_cause1",10,2,8,0,1,0.2,0.333333333333333,11.2270915825822
"casebase.relaxed.lambda.min_cause2",10,6,4,0,1,0.6,0.654653670707977,0.342400584370007
