"","TP","TN","FP","FN","Sensitivity","Specificity","MCC","Coefficient_Bias"
"glmnet.lambda.min_reference1",10,9,1,0,1,0.9,0.904534033733291,3.67824428566372
"glmnet.lambda.min_reference2",10,9,1,0,1,0.9,0.904534033733291,3.66822704220039
"mtool.relaxed.no.pen.lambda.min_reference1",10,1,9,0,1,0.1,0.229415733870562,3.8122431193027
"mtool.relaxed.no.pen.lambda.min_reference2",10,0,10,0,1,0,NA,3.76948705329764
"mtool.relaxed.small.pen.lambda.min_reference1",7,10,0,3,0.7,1,0.733799385705343,4.23787170336442
"mtool.relaxed.small.pen.lambda.min_reference2",7,8,2,3,0.7,0.8,0.502518907629606,4.25536371810978
"mtool.relaxed.significant.pen.lambda.min_reference1",10,2,8,0,1,0.2,0.333333333333333,3.88875701068598
"mtool.relaxed.significant.pen.lambda.min_reference2",10,3,7,0,1,0.3,0.420084025208403,3.84229215122979
