"","Model","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","cv.glmnet relax = TRUE, lambda min",0,0.01,0,-0.016,0,-0.062,0,-0.004,0,-0.04,0,0.014,0,0.006,0,-0.056,0,-0.016,0,0.024
"2","Relaxed LASSO implementation, glmnet(), start CV AFTER predictors selected",0,0.041,0,0.002,0,-0.068,0,-0.015,0,-0.027,0,0.031,-0.038,0.009,0,-0.064,0,-0.02,0,0.031
"3","Relaxed LASSO implementation, cv.glmnet(), start CV AFTER predictors selected",0,0.041,0,0.002,0,-0.068,0,-0.015,0,-0.027,0,0.031,-0.038,0.009,0,-0.064,0,-0.02,0,0.031
"4","Relaxed LASSO implementation, glmnet(), start CV BEFORE predictors selected",0.018,0.036,-0.039,0.012,0.021,-0.069,0.04,-0.016,0.01,-0.027,-0.031,0.033,-0.038,0.012,-0.014,-0.051,0.05,-0.026,-0.018,0.03
"5","Post LASSO lambda min",0,-0.006,-0.012,-0.035,0,-0.086,0,-0.025,0,-0.058,0,-0.005,-0.038,-0.023,-0.007,-0.082,0.008,-0.035,0,0.003
