"","TP","TN","FP","FN","Sensitivity","Specificity","MCC","Coefficient_Bias"
"cox.lambda.min_cause1",9,7,3,1,0.9,0.7,0.612372435695795,11.1269280747285
"cox.lambda.min_cause2",10,3,7,0,1,0.3,0.420084025208403,0.0566026522775914
"casebase.cv.lambda.min_cause1",10,6,4,0,1,0.6,0.654653670707977,11.4521142344083
"casebase.cv.lambda.min_cause2",10,8,2,0,1,0.8,0.816496580927726,0.372432745178526
"casebase.relaxed.lambda.min.no.pen_cause1",0,10,0,10,0,1,NA,12.5
"casebase.relaxed.lambda.min.no.pen_cause2",0,10,0,10,0,1,NA,0.5
"casebase.relaxed.lambda.min.pen_cause1",10,0,10,0,1,0,NA,10.9481638117846
"casebase.relaxed.lambda.min.pen_cause2",10,0,10,0,1,0,NA,0.2999525105319
