TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
7,7,3,3,0.7,0.7,0.4,11.527127070420505
10,2,8,0,1,0.2,0.3333333333333333,0.15553359774620837
10,7,3,0,1,0.7,0.7337993857053428,11.063330852591328
9,4,6,1,0.9,0.4,0.34641016151377546,0.3678584579767804
9,10,0,1,0.9,1,0.9045340337332909,11.866222410768323
4,10,0,6,0.4,1,0.5,0.4603069071735979
9,10,0,1,0.9,1,0.9045340337332909,11.386968132008336
7,7,3,3,0.7,0.7,0.4,0.41110731532836203
9,10,0,1,0.9,1,0.9045340337332909,11.434239332960697
7,7,3,3,0.7,0.7,0.4,0.4169616679617365
