TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
9,8,2,1,0.9,0.8,0.7035264706814485,11.516114730605635
10,5,5,0,1,0.5,0.5773502691896257,0.0658770770870544
10,7,3,0,1,0.7,0.7337993857053428,11.05433667781618
10,5,5,0,1,0.5,0.5773502691896257,0.34429615077600684
9,9,1,1,0.9,0.9,0.8,11.742805476451716
6,10,0,4,0.6,1,0.6546536707079772,0.44793169912749314
10,8,2,0,1,0.8,0.816496580927726,11.235692426496605
10,7,3,0,1,0.7,0.7337993857053428,0.3720338368903767
10,8,2,0,1,0.8,0.816496580927726,11.23568759545411
10,7,3,0,1,0.7,0.7337993857053428,0.372014789004791
7,10,0,3,0.7,1,0.7337993857053428,11.491126286523528
10,8,2,0,1,0.8,0.816496580927726,0.08913735933123779
8,4,6,2,0.8,0.4,0.2182178902359924,11.651538585978166
9,6,4,1,0.9,0.6,0.5241424183609591,0.344325600613023
8,7,3,2,0.8,0.7,0.502518907629606,11.844080822435822
8,8,2,2,0.8,0.8,0.6,0.3738065399308985
8,7,3,2,0.8,0.7,0.502518907629606,11.881726824113322
8,10,0,2,0.8,1,0.816496580927726,0.3795102337640379
8,6,4,2,0.8,0.6,0.408248290463863,11.77372352910529
8,8,2,2,0.8,0.8,0.6,0.36316603858541513
