"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",5,977,3,15,0.25,0.996938775510204,0.388075741879281
"cox.lambda.min",13,935,45,7,0.65,0.954081632653061,0.361813042867578
"cens.prop",0.4675,0.33,0.2025,0,0,0,0
