"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",20,0,980,0,1,0,NA
"cox.lambda.min",12,931,49,8,0.6,0.95,0.321731076080218
"cens.prop",0.4975,0.3,0.2025,0,0,0,0
