"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",6,3,7,4,0.6,0.3,-0.104828483672192
"casebase.lambda.1se",2,6,4,8,0.2,0.6,-0.218217890235992
"casebase.lambda.0.5se",3,6,4,7,0.3,0.6,-0.104828483672192
"casebase.lambda.min0.5se",9,3,7,1,0.9,0.3,0.25
"casebase.lambda.min1se",9,1,9,1,0.9,0.1,0
"cox",8,3,7,2,0.8,0.3,0.115470053837925
