"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",6,6,4,4,0.6,0.6,0.2
"casebase.lambda.1se",2,9,1,8,0.2,0.9,0.140028008402801
"casebase.lambda.0.5se",3,8,2,7,0.3,0.8,0.115470053837925
"casebase.lambda.min0.5se",9,4,6,1,0.9,0.4,0.346410161513775
"casebase.lambda.min1se",9,1,9,1,0.9,0.1,0
"cox",4,8,2,6,0.4,0.8,0.218217890235992
