"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",4,8,2,6,0.4,0.8,0.218217890235992
"casebase.lambda.1se",3,9,1,7,0.3,0.9,0.25
"casebase.lambda.0.5se",3,9,1,7,0.3,0.9,0.25
"casebase.lambda.min0.5se",4,7,3,6,0.4,0.7,0.104828483672192
"casebase.lambda.min1se",7,6,4,3,0.7,0.6,0.301511344577764
"cox",8,4,6,2,0.8,0.4,0.218217890235992
