"","Model","Test MSE"
"1","cv.glmnet relax = TRUE, lambda min",0.299034694881381
"2","Relaxed LASSO implementation, glmnet(), start CV AFTER predictors selected",0.301449448978634
"3","Relaxed LASSO implementation, cv.glmnet(), start CV AFTER predictors selected",0.301790756721383
"4","Relaxed LASSO implementation, glmnet(), start CV BEFORE predictors selected",0.299670598738013
"5","Post LASSO lambda min",0.353092456859334
