"","V1"
"cox.lambda.min",1152.70986283881
"mtool.cv.lambda.min",2537.07922722492
"mtool.relaxed.lambda.min.no.pen",2236.61142182469
"mtool.relaxed.lambda.min.pen",2899.64588893973
