"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",13,97,3,7,0.65,0.97,0.679719964962948
"cox.lambda.min",17,75,25,3,0.85,0.75,0.468807230938495
"cens.prop",0.2975,0.365,0.3375,0,0,0,0
