"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",4,100,0,16,0.2,1,0.4152273992687
"cox.lambda.min",17,74,26,3,0.85,0.74,0.458550761602764
"cens.prop",0.2675,0.4,0.3325,0,0,0,0
