"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",12,94,6,8,0.6,0.94,0.563601861976635
"cox.lambda.min",18,82,18,2,0.9,0.82,0.58554004376912
"cens.prop",0.295,0.4,0.305,0,0,0,0
