"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",18,87,13,2,0.9,0.87,0.655586305078921
"cox.lambda.min",15,74,26,5,0.75,0.74,0.385039782951163
"cens.prop",0.29,0.435,0.275,0,0,0,0
