"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",0,15,0,5,0,1,NA
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min1se",0,15,0,5,0,1,NA
"cox",3,5,10,2,0.6,0.333333333333333,-0.0605227532668802
