"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,12,3,4,0.2,0.8,0
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",1,11,4,4,0.2,0.733333333333333,-0.0666666666666667
"casebase.lambda.min1se",3,6,9,2,0.6,0.4,0
"cox",3,4,11,2,0.6,0.266666666666667,-0.125988157669742
