"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,14,1,4,0.2,0.933333333333333,0.192450089729875
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",2,14,1,3,0.4,0.933333333333333,0.404226041727222
"casebase.lambda.min1se",2,11,4,3,0.4,0.733333333333333,0.125988157669742
"cox",3,6,9,2,0.6,0.4,0
