"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,11,4,4,0.2,0.733333333333333,-0.0666666666666667
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",4,5,10,1,0.8,0.333333333333333,0.125988157669742
"casebase.lambda.min1se",5,1,14,0,1,0.0666666666666667,0.132453235706504
"cox",3,1,14,2,0.6,0.0666666666666667,-0.404226041727222
