"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",0,12,3,5,0,0.8,-0.242535625036333
"casebase.lambda.1se",0,15,0,5,0,1,NA
"casebase.lambda.0.5se",0,15,0,5,0,1,NA
"casebase.lambda.min0.5se",4,12,3,1,0.8,0.8,0.544704779401922
"casebase.lambda.min1se",4,11,4,1,0.8,0.733333333333333,0.471404520791032
"cox",4,6,9,1,0.8,0.4,0.181568259800641
