"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",3,5,5,7,0.3,0.5,-0.204124145231932
"casebase.lambda.1se",2,9,1,8,0.2,0.9,0.140028008402801
"casebase.lambda.0.5se",3,8,2,7,0.3,0.8,0.115470053837925
"casebase.lambda.min0.5se",5,5,5,5,0.5,0.5,0
"casebase.lambda.min1se",6,3,7,4,0.6,0.3,-0.104828483672192
"cox",8,6,4,2,0.8,0.6,0.408248290463863
