"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",5,4,6,5,0.5,0.4,-0.100503781525921
"casebase.lambda.1se",1,7,3,9,0.1,0.7,-0.25
"casebase.lambda.0.5se",2,6,4,8,0.2,0.6,-0.218217890235992
"casebase.lambda.min0.5se",6,4,6,4,0.6,0.4,0
"casebase.lambda.min1se",7,3,7,3,0.7,0.3,0
"cox",5,3,7,5,0.5,0.3,-0.204124145231932
