"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",4,10,0,6,0.4,1,0.5
"casebase.lambda.1se",1,10,0,9,0.1,1,0.229415733870562
"casebase.lambda.0.5se",1,10,0,9,0.1,1,0.229415733870562
"casebase.lambda.min0.5se",7,10,0,3,0.7,1,0.733799385705343
"casebase.lambda.min1se",9,8,2,1,0.9,0.8,0.703526470681448
"cox",5,7,3,5,0.5,0.7,0.204124145231932
