"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,5,5,9,0.1,0.5,-0.436435780471985
"casebase.lambda.1se",1,7,3,9,0.1,0.7,-0.25
"casebase.lambda.0.5se",1,7,3,9,0.1,0.7,-0.25
"casebase.lambda.min0.5se",3,4,6,7,0.3,0.4,-0.301511344577764
"casebase.lambda.min1se",5,2,8,5,0.5,0.2,-0.314485451016575
"cox",6,5,5,4,0.6,0.5,0.100503781525921
