"","TP","TN","FP","FN","Sensitivity","Specificity","MCC"
"casebase.lambda.min",1,10,0,9,0.1,1,0.229415733870562
"casebase.lambda.1se",0,10,0,10,0,1,NA
"casebase.lambda.0.5se",1,10,0,9,0.1,1,0.229415733870562
"casebase.lambda.min0.5se",2,7,3,8,0.2,0.7,-0.115470053837925
"casebase.lambda.min1se",4,6,4,6,0.4,0.6,0
"cox",5,5,5,5,0.5,0.5,0
