"","TP","TN","FP","FN","Sensitivity","Specificity","MCC","Coefficient_Bias"
"glmnet.lambda.min_reference1",10,7,3,0,1,0.7,0.733799385705343,3.49291043757856
"glmnet.lambda.min_reference2",10,7,3,0,1,0.7,0.733799385705343,3.43172141020307
"mtool.relaxed.no.pen.lambda.min_reference1",9,8,2,1,0.9,0.8,0.703526470681448,4.21060012436013
"mtool.relaxed.no.pen.lambda.min_reference2",8,5,5,2,0.8,0.5,0.314485451016575,4.16865521553832
"mtool.relaxed.small.pen.lambda.min_reference1",7,8,2,3,0.7,0.8,0.502518907629606,4.28701445901657
"mtool.relaxed.small.pen.lambda.min_reference2",8,5,5,2,0.8,0.5,0.314485451016575,4.23640344985592
"mtool.relaxed.significant.pen.lambda.min_reference1",7,8,2,3,0.7,0.8,0.502518907629606,4.28702630492844
"mtool.relaxed.significant.pen.lambda.min_reference2",8,5,5,2,0.8,0.5,0.314485451016575,4.23639948922603
