"","TP","TN","FP","FN","Sensitivity","Specificity","MCC","Coefficient_Bias"
"glmnet.lambda.min_reference1",10,10,0,0,1,1,1,3.91977795102467
"glmnet.lambda.min_reference2",10,10,0,0,1,1,1,3.8231898735387
"mtool.relaxed.no.pen.lambda.min_reference1",10,3,7,0,1,0.3,0.420084025208403,4.01406280718809
"mtool.relaxed.no.pen.lambda.min_reference2",10,2,8,0,1,0.2,0.333333333333333,3.85122743929612
"mtool.relaxed.small.pen.lambda.min_reference1",5,10,0,5,0.5,1,0.577350269189626,4.38280142480468
"mtool.relaxed.small.pen.lambda.min_reference2",7,7,3,3,0.7,0.7,0.4,4.2351862187731
"mtool.relaxed.significant.pen.lambda.min_reference1",9,5,5,1,0.9,0.5,0.436435780471985,4.06121666424119
"mtool.relaxed.significant.pen.lambda.min_reference2",9,2,8,1,0.9,0.2,0.140028008402801,3.89996620020722
