TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
10,7,3,0,1,0.7,0.7337993857053428,3.602044169330632
10,7,3,0,1,0.7,0.7337993857053428,3.65149510557644
7,7,3,3,0.7,0.7,0.4,4.3152050795252
7,9,1,3,0.7,0.9,0.6123724356957946,4.3205370506987375
8,6,4,2,0.8,0.6,0.408248290463863,4.178390107646013
7,8,2,3,0.7,0.8,0.502518907629606,4.2050652123405685
8,6,4,2,0.8,0.6,0.408248290463863,4.208358774302566
7,8,2,3,0.7,0.8,0.502518907629606,4.229195767134603
